iter	Passed	Remaining
0	1	968
1	3	957
2	5	985
3	8	1012
4	10	1016
5	12	1028
6	14	1041
7	16	1025
8	18	1028
9	20	1018
10	22	1017
11	24	1002
12	27	1011
13	29	1019
14	31	1009
15	33	1005
16	35	998
17	37	993
18	38	985
19	41	1007
20	44	1020
21	46	1014
22	48	1008
23	50	1003
24	52	995
25	54	988
26	56	988
27	58	991
28	60	987
29	62	982
30	64	977
31	66	971
32	68	965
33	70	960
34	73	970
35	74	965
36	76	960
37	78	955
38	80	950
39	82	946
40	84	940
41	86	944
42	89	946
43	90	942
44	92	937
45	94	932
46	96	928
47	98	923
48	99	919
49	103	932
50	105	930
51	107	926
52	109	924
53	111	921
54	113	919
55	115	919
56	118	919
57	120	916
58	122	912
59	123	908
60	125	905
61	127	901
62	129	898
63	132	903
64	134	899
65	136	896
66	138	892
67	139	889
68	141	885
69	143	883
70	146	883
71	148	881
72	150	878
73	152	875
74	154	873
75	155	869
76	157	866
77	160	866
78	163	868
79	165	866
80	167	864
81	169	862
82	171	863
83	174	863
84	177	864
85	179	862
86	181	859
87	182	856
88	184	853
89	186	850
90	188	847
91	191	849
92	193	847
93	195	844
94	197	841
95	199	838
96	201	835
97	202	832
98	205	833
99	207	831
100	209	827
101	211	825
102	213	823
103	215	822
104	217	819
105	223	831
106	225	829
107	227	826
108	229	824
109	231	821
110	233	818
111	236	818
112	238	815
113	239	812
114	241	809
115	243	807
116	245	803
117	247	801
118	250	802
119	252	800
120	254	796
121	256	793
122	257	790
123	259	787
124	261	784
125	263	781
126	265	781
127	267	778
128	269	775
129	271	773
130	273	770
131	275	767
132	277	764
133	279	763
134	282	763
135	284	760
136	285	757
137	287	755
138	289	752
139	291	749
140	293	746
141	295	745
142	297	742
143	299	740
144	301	737
145	303	735
146	305	732
147	306	729
148	308	727
149	310	725
150	312	722
151	314	720
152	316	717
153	318	714
154	319	712
155	321	709
156	324	708
157	326	706
158	328	704
159	330	701
160	332	699
161	334	696
162	335	694
163	338	692
164	341	692
165	343	690
166	344	687
167	346	685
168	348	682
169	350	680
170	352	678
171	354	676
172	356	674
173	358	672
174	360	669
175	362	667
176	364	665
177	366	663
178	369	662
179	371	660
180	373	658
181	375	655
182	377	653
183	378	650
184	380	648
185	383	646
186	385	645
187	387	642
188	389	640
189	391	638
190	393	636
191	395	634
192	398	634
193	401	633
194	403	631
195	405	628
196	407	626
197	409	624
198	411	621
199	413	620
200	415	618
201	417	615
202	419	613
203	421	611
204	423	608
205	424	606
206	428	605
207	430	604
208	432	601
209	434	599
210	435	596
211	437	594
212	439	592
213	441	589
214	443	588
215	445	585
216	447	583
217	449	581
218	451	578
219	453	576
220	454	574
221	457	572
222	460	571
223	461	569
224	463	566
225	465	564
226	467	562
227	469	560
228	471	558
229	474	556
230	476	554
231	477	551
232	479	549
233	481	547
234	483	545
235	485	543
236	488	542
237	490	540
238	492	538
239	494	535
240	496	533
241	498	531
242	500	529
243	502	527
244	504	525
245	506	522
246	508	520
247	510	518
248	511	516
249	513	513
250	515	511
251	519	511
252	521	509
253	523	507
254	525	504
255	527	502
256	529	500
257	530	497
258	533	496
259	535	494
260	537	491
261	538	489
262	540	487
263	542	485
264	544	482
265	546	480
266	549	479
267	551	477
268	553	475
269	555	472
270	557	470
271	558	468
272	560	466
273	562	464
274	565	462
275	567	460
276	568	457
277	570	455
278	572	453
279	574	451
280	576	449
281	580	448
282	582	446
283	584	444
284	585	442
285	587	439
286	589	437
287	591	435
288	594	433
289	595	431
290	597	429
291	599	427
292	601	425
293	603	422
294	605	420
295	608	419
296	610	417
297	612	415
298	614	412
299	616	410
300	618	408
301	620	406
302	622	404
303	624	402
304	626	400
305	628	398
306	630	396
307	632	394
308	634	391
309	636	389
310	640	389
311	643	387
312	645	385
313	647	383
314	649	381
315	651	379
316	653	377
317	656	375
318	658	373
319	659	371
320	661	369
321	663	366
322	665	364
323	668	362
324	670	360
325	672	358
326	673	356
327	675	354
328	677	352
329	679	350
330	681	347
331	684	346
332	686	344
333	687	341
334	689	339
335	691	337
336	693	335
337	695	333
338	698	331
339	701	330
340	703	327
341	705	325
342	707	323
343	709	321
344	711	319
345	713	317
346	715	315
347	717	313
348	719	311
349	721	309
350	723	306
351	724	304
352	726	302
353	729	301
354	731	298
355	733	296
356	735	294
357	737	292
358	739	290
359	740	288
360	742	286
361	745	284
362	747	282
363	749	279
364	750	277
365	752	275
366	754	273
367	756	271
368	760	270
369	763	268
370	765	266
371	767	263
372	768	261
373	770	259
374	772	257
375	774	255
376	776	253
377	778	251
378	780	249
379	782	247
380	784	245
381	786	242
382	790	241
383	792	239
384	793	237
385	795	235
386	797	232
387	799	230
388	801	228
389	803	226
390	806	224
391	808	222
392	810	220
393	811	218
394	813	216
395	815	214
396	817	212
397	820	210
398	822	208
399	824	206
400	826	203
401	827	201
402	829	199
403	831	197
404	834	195
405	836	193
406	837	191
407	839	189
408	841	187
409	844	185
410	845	183
411	849	181
412	851	179
413	853	177
414	854	175
415	856	172
416	858	170
417	860	168
418	862	166
419	864	164
420	866	162
421	868	160
422	870	158
423	872	156
424	874	154
425	876	152
426	880	150
427	882	148
428	884	146
429	886	144
430	888	142
431	889	140
432	892	138
433	894	136
434	896	133
435	898	131
436	900	129
437	902	127
438	904	125
439	905	123
440	909	121
441	911	119
442	913	117
443	915	115
444	917	113
445	918	111
446	920	109
447	923	107
448	925	105
449	927	103
450	929	100
451	931	98
452	933	96
453	935	94
454	940	93
455	942	90
456	944	88
457	947	86
458	949	84
459	950	82
460	953	80
461	955	78
462	957	76
463	959	74
464	961	72
465	963	70
466	964	68
467	967	66
468	970	64
